,nanoTime,TimeStamp,TradeCount,TotalTradeVolume,TotalTradeValue,PreClose,Open,High,Low,Last,TotalBidVolume,TotalOfferVolume,bp1,ap1,bv1,av1,bp2,ap2,bv2,av2,bp3,ap3,bv3,av3,bp4,ap4,bv4,av4,bp5,ap5,bv5,av5,bp6,ap6,bv6,av6,bp7,ap7,bv7,av7,bp8,ap8,bv8,av8,bp9,ap9,bv9,av9,bpA,apA,bvA,avA,recieveMdNum
0,7146171.613235,93000000,74.0,77196.0,3105595.08,40.23,40.23,40.23,40.23,40.23,89604.0,336999.0,40.24,40.25,1000.0,4700.0,40.230000000000004,40.27,2504.0,400.0,40.18,40.300000000000004,13200.0,100.0,40.080000000000005,40.480000000000004,200.0,700.0,40.07,40.5,800.0,4700.0,40.06,40.550000000000004,11800.0,300.0,40.050000000000004,40.580000000000005,8800.0,400.0,40.010000000000005,40.65,5400.0,1500.0,40.0,40.7,3900.0,3100.0,39.99,40.72,1800.0,400.0,1479220
1,7146177.196567,93003000,139.0,111496.0,4488008.08,40.23,40.23,40.5,40.23,40.25,238504.0,390699.0,40.25,40.480000000000004,47400.0,100.0,40.24,40.5,31100.0,3200.0,40.230000000000004,40.53,18804.0,600.0,40.22,40.550000000000004,100.0,300.0,40.2,40.580000000000005,4800.0,400.0,40.190000000000005,40.6,200.0,100.0,40.18,40.65,13600.0,1500.0,40.13,40.67,10000.0,100.0,40.1,40.7,1000.0,3100.0,40.080000000000005,40.72,5000.0,400.0,2154987
2,7146178.965398,93006000,153.0,123396.0,4967332.08,40.23,40.23,40.5,40.23,40.25,241804.0,401899.0,40.27,40.5,300.0,3400.0,40.260000000000005,40.53,1400.0,600.0,40.25,40.550000000000004,38100.0,300.0,40.24,40.580000000000005,36600.0,400.0,40.230000000000004,40.6,19104.0,100.0,40.22,40.65,100.0,1500.0,40.2,40.67,4800.0,100.0,40.190000000000005,40.68,1200.0,400.0,40.18,40.7,13600.0,3100.0,40.13,40.72,10000.0,400.0,2371003
3,7146180.485491,93009000,153.0,126596.0,5096710.08,40.23,40.23,40.5,40.23,40.35,241804.0,401899.0,40.35,40.49,20500.0,500.0,40.28,40.5,100.0,1400.0,40.27,40.53,300.0,600.0,40.260000000000005,40.550000000000004,2400.0,300.0,40.25,40.580000000000005,18400.0,400.0,40.24,40.6,38500.0,100.0,40.230000000000004,40.65,19204.0,1500.0,40.22,40.67,100.0,100.0,40.2,40.68,4800.0,400.0,40.190000000000005,40.7,1400.0,6500.0,2452698
4,7146184.1718069995,93012000,168.0,127596.0,5137130.08,40.23,40.23,40.5,40.23,40.49,272604.0,412899.0,40.49,40.5,20700.0,1400.0,40.35,40.53,20700.0,600.0,40.300000000000004,40.550000000000004,100.0,300.0,40.28,40.580000000000005,100.0,400.0,40.27,40.6,300.0,100.0,40.260000000000005,40.65,2400.0,1500.0,40.25,40.67,19100.0,100.0,40.24,40.68,38500.0,400.0,40.230000000000004,40.7,19104.0,6500.0,40.22,40.72,100.0,400.0,2550590
5,7146186.433270999,93015000,168.0,129996.0,5234364.08,40.23,40.23,40.5,40.23,40.54,272604.0,412899.0,40.54,40.550000000000004,500.0,300.0,40.5,40.580000000000005,3000.0,400.0,40.49,40.6,20700.0,100.0,40.36,40.65,300.0,1500.0,40.35,40.67,20700.0,100.0,40.300000000000004,40.68,100.0,400.0,40.28,40.7,100.0,6500.0,40.27,40.72,200.0,400.0,40.260000000000005,40.75,2400.0,5000.0,40.25,40.77,19100.0,400.0,2603065
6,7146189.43483,93018000,172.0,130796.0,5266795.08,40.23,40.23,40.54,40.23,40.51,286204.0,412599.0,40.510000000000005,40.550000000000004,4500.0,100.0,40.5,40.580000000000005,2500.0,400.0,40.49,40.6,20700.0,100.0,40.35,40.65,20700.0,1500.0,40.300000000000004,40.67,100.0,100.0,40.28,40.68,100.0,400.0,40.27,40.7,200.0,6500.0,40.260000000000005,40.72,2200.0,400.0,40.25,40.75,13800.0,5000.0,40.24,40.77,48600.0,400.0,2673708
7,7146192.490743999,93021000,177.0,132096.0,5319491.08,40.23,40.23,40.55,40.23,40.55,279804.0,412399.0,40.550000000000004,40.580000000000005,21500.0,400.0,40.510000000000005,40.6,4000.0,100.0,40.5,40.65,2400.0,1500.0,40.35,40.67,20800.0,100.0,40.300000000000004,40.68,100.0,400.0,40.27,40.7,200.0,6500.0,40.260000000000005,40.72,2100.0,400.0,40.25,40.75,13600.0,5000.0,40.24,40.78,48600.0,800.0,40.230000000000004,40.800000000000004,19104.0,5100.0,2743862
8,7146195.510485,93024000,185.0,133096.0,5360056.08,40.23,40.23,40.56,40.23,40.55,279904.0,411899.0,40.550000000000004,40.6,21000.0,100.0,40.52,40.64,200.0,200.0,40.510000000000005,40.65,4100.0,1500.0,40.5,40.67,2400.0,100.0,40.35,40.68,20800.0,400.0,40.300000000000004,40.7,100.0,6500.0,40.27,40.72,200.0,400.0,40.260000000000005,40.75,2100.0,5000.0,40.25,40.78,13600.0,800.0,40.24,40.800000000000004,48500.0,5100.0,2814066
9,7146198.415701999,93027000,189.0,133196.0,5364116.08,40.23,40.23,40.58,40.23,40.6,266904.0,411699.0,40.6,40.64,200.0,200.0,40.580000000000005,40.65,200.0,1500.0,40.550000000000004,40.67,21000.0,100.0,40.52,40.68,200.0,400.0,40.510000000000005,40.7,4100.0,6500.0,40.5,40.72,1600.0,400.0,40.49,40.75,7400.0,5000.0,40.35,40.78,20800.0,800.0,40.300000000000004,40.800000000000004,100.0,5100.0,40.27,40.85,200.0,800.0,2879733
